"check","n_flagged","details"
"fitted_probability_below_1e-6",0,"Potential separation/extreme fit heuristic"
"fitted_probability_above_1_minus_1e-6",0,"Potential separation/extreme fit heuristic"
"coefficient_abs_gt_10_or_se_gt_10",0,"none"
"glm_converged",0,"converged = TRUE"
