"specification_id","term","estimate_log_odds","std_error","z_value","p_value","ci95_lower_logit","ci95_upper_logit","odds_ratio","or_ci95_lower","or_ci95_upper","ci_crosses_1","direction","ci_method"
"PRICE_RAW","(Intercept)",1.65747006666244,0.0801296402277217,20.6848559653089,4.74188055418698e-95,1.50041885772196,1.81452127560293,5.24602195569832,4.48356665360526,6.13813699803911,FALSE,"+","Wald normal"
"PRICE_RAW","z_raw_price",-0.0672291913437671,0.0294024898296867,-2.28651354811075,0.0222242324475173,-0.124857012465758,-0.00960137022177601,0.934980887252302,0.882623097662618,0.990444575767561,FALSE,"-","Wald normal"
"PRICE_RAW","z_days_since_release",-0.0170991692894918,0.0306269032083717,-0.558305525477282,0.576635772484249,-0.0771267965358946,0.042928457956911,0.983046191808463,0.925772461423056,1.04386321207227,TRUE,"-","Wald normal"
"PRICE_RAW","platform_segmentWindows + macOS",0.356395588359438,0.108379721407237,3.288397347141,0.00100759521488399,0.143975237746769,0.568815938972107,1.42817240490978,1.15485551134623,1.76617455439779,FALSE,"+","Wald normal"
"PRICE_RAW","platform_segmentWindows + Linux",0.486541828015199,0.165862840940254,2.93339861573007,0.00335273133467766,0.161456633398805,0.811627022631593,1.62668113888874,1.17522149169152,2.25156836079282,FALSE,"+","Wald normal"
"PRICE_RAW","platform_segmentWindows + macOS + Linux",0.40854797486203,0.112878215044511,3.61936955417774,0.000295321635600311,0.187310738735622,0.629785210988439,1.50463143551196,1.20600197836096,1.87720733245197,FALSE,"+","Wald normal"
"PRICE_RAW","genre_action",-0.125350155807118,0.0655132971111279,-1.9133544079531,0.055702696844549,-0.2537538586534,0.00305354703916491,0.882187945264149,0.775882755370968,1.00305821386284,TRUE,"-","Wald normal"
"PRICE_RAW","genre_adventure",-0.0104174771166993,0.0625595713783985,-0.166520915779426,0.867747024546188,-0.133031983906623,0.112197029673225,0.989636596863659,0.875437091762796,1.11873326258062,TRUE,"-","Wald normal"
"PRICE_RAW","genre_casual",0.108631772998548,0.0665272296354892,1.63289187891566,0.102491738458097,-0.0217592010782368,0.239022747075332,1.11475179304683,0.978475822608512,1.27000742520984,TRUE,"+","Wald normal"
"PRICE_RAW","genre_indie",0.122430074204628,0.0710730191854424,1.72259565736452,0.0849616708661357,-0.0168704836713631,0.261730632080619,1.13024008437387,0.983271026041684,1.29917653881046,TRUE,"+","Wald normal"
"PRICE_RAW","genre_rpg",-0.0796968889235516,0.0696220520333678,-1.14470755451671,0.252330320991727,-0.216153603438726,0.056759825591623,0.92339619558663,0.805611547665188,1.05840157889374,TRUE,"-","Wald normal"
"PRICE_RAW","genre_simulation",-0.241361293701181,0.0651576139220649,-3.70426845264583,0.000212001654387281,-0.369067870306994,-0.113654717095369,0.785557758041616,0.691378484787885,0.892566090494841,FALSE,"-","Wald normal"
"PRICE_RAW","genre_strategy",-0.199462658186652,0.0744189119729296,-2.68026840084961,0.00735631496676165,-0.345321045422251,-0.0536042709510535,0.819170809565272,0.707993019059663,0.947807107102667,FALSE,"-","Wald normal"
