"specification_id","term","estimate_log_odds","std_error","z_value","p_value","ci95_lower_logit","ci95_upper_logit","odds_ratio","or_ci95_lower","or_ci95_upper","ci_crosses_1","direction","ci_method","population","threshold","release_spec","price_spec","genre_spec","n_games","log_likelihood","aic","bic","beta_precision_phi","intra_game_rho","converged","positive_definite_hessian","max_abs_fixed_gradient","warning_count"
"PRIMARY","(Intercept)",1.64854792601808,0.0794799043053611,20.7416949029578,1.45700329465069e-95,1.49277017608489,1.80432567595128,5.1994243940999,4.44940409548766,6.07587295956721,FALSE,"+","Wald normal","paid; total_reviews >= 20",">=20","z_days_since_release","z_log1p_price","primary_7",836,-3395.15300094211,6818.30600188421,6884.5068024674,8.7467266207002,0.102598548098824,TRUE,TRUE,0.00249728561476109,0
"PRIMARY","z_log1p_price",-0.0730417527083384,0.0321653680584518,-2.27081973927999,0.023157892501763,-0.136084715652379,-0.00999878976429776,0.929562017483736,0.872768692187678,0.990051031943549,FALSE,"-","Wald normal","paid; total_reviews >= 20",">=20","z_days_since_release","z_log1p_price","primary_7",836,-3395.15300094211,6818.30600188421,6884.5068024674,8.7467266207002,0.102598548098824,TRUE,TRUE,0.00249728561476109,0
"PRIMARY","z_days_since_release",-0.0174602217714934,0.0305968743691416,-0.570653772043554,0.568234360743685,-0.0774289935745075,0.0425085500315208,0.982691324607685,0.92549273799471,1.04342497765199,TRUE,"-","Wald normal","paid; total_reviews >= 20",">=20","z_days_since_release","z_log1p_price","primary_7",836,-3395.15300094211,6818.30600188421,6884.5068024674,8.7467266207002,0.102598548098824,TRUE,TRUE,0.00249728561476109,0
"PRIMARY","platform_segmentWindows + macOS",0.366529652998134,0.1083358116059,3.38327324607567,0.000716273288264698,0.154195364014654,0.578863941981614,1.44271918086519,1.16671879938337,1.78401053958879,FALSE,"+","Wald normal","paid; total_reviews >= 20",">=20","z_days_since_release","z_log1p_price","primary_7",836,-3395.15300094211,6818.30600188421,6884.5068024674,8.7467266207002,0.102598548098824,TRUE,TRUE,0.00249728561476109,0
"PRIMARY","platform_segmentWindows + Linux",0.489501800199617,0.165771764774803,2.95286595316514,0.00314838645647288,0.164595111587357,0.814408488811877,1.63150320287972,1.17891569276231,2.25783973981205,FALSE,"+","Wald normal","paid; total_reviews >= 20",">=20","z_days_since_release","z_log1p_price","primary_7",836,-3395.15300094211,6818.30600188421,6884.5068024674,8.7467266207002,0.102598548098824,TRUE,TRUE,0.00249728561476109,0
"PRIMARY","platform_segmentWindows + macOS + Linux",0.418186053630357,0.112872129629295,3.70495404847772,0.000211429058503257,0.196960744698604,0.639411362562111,1.51920330139901,1.21769623873481,1.89536486815435,FALSE,"+","Wald normal","paid; total_reviews >= 20",">=20","z_days_since_release","z_log1p_price","primary_7",836,-3395.15300094211,6818.30600188421,6884.5068024674,8.7467266207002,0.102598548098824,TRUE,TRUE,0.00249728561476109,0
"PRIMARY","genre_action",-0.124687684110165,0.0655244567545831,-1.90291824283524,0.0570512141588083,-0.2531132594557,0.00373789123536991,0.882772563434394,0.776379944474036,1.00374488586315,TRUE,"-","Wald normal","paid; total_reviews >= 20",">=20","z_days_since_release","z_log1p_price","primary_7",836,-3395.15300094211,6818.30600188421,6884.5068024674,8.7467266207002,0.102598548098824,TRUE,TRUE,0.00249728561476109,0
"PRIMARY","genre_adventure",-0.00769179156638015,0.062609430371677,-0.122853562486007,0.902223058739129,-0.130404020187435,0.115020437054675,0.99233771456224,0.877740734297098,1.12189636559501,TRUE,"-","Wald normal","paid; total_reviews >= 20",">=20","z_days_since_release","z_log1p_price","primary_7",836,-3395.15300094211,6818.30600188421,6884.5068024674,8.7467266207002,0.102598548098824,TRUE,TRUE,0.00249728561476109,0
"PRIMARY","genre_casual",0.101220050627175,0.0669988735444931,1.51077242455362,0.130846442688238,-0.0300953285247846,0.232535429779135,1.10652010541846,0.970353026816746,1.26179515069055,TRUE,"+","Wald normal","paid; total_reviews >= 20",">=20","z_days_since_release","z_log1p_price","primary_7",836,-3395.15300094211,6818.30600188421,6884.5068024674,8.7467266207002,0.102598548098824,TRUE,TRUE,0.00249728561476109,0
"PRIMARY","genre_indie",0.135089176785313,0.0693213115085197,1.94873948350949,0.0513265440200587,-0.000778097132467459,0.270956450703093,1.14463885501351,0.999222205506607,1.31121796652065,TRUE,"+","Wald normal","paid; total_reviews >= 20",">=20","z_days_since_release","z_log1p_price","primary_7",836,-3395.15300094211,6818.30600188421,6884.5068024674,8.7467266207002,0.102598548098824,TRUE,TRUE,0.00249728561476109,0
"PRIMARY","genre_rpg",-0.0871883993301128,0.0692183774701941,-1.25961345117713,0.207808840724622,-0.222853926239992,0.0484771275797663,0.916504410549793,0.800231733615687,1.04967136302123,TRUE,"-","Wald normal","paid; total_reviews >= 20",">=20","z_days_since_release","z_log1p_price","primary_7",836,-3395.15300094211,6818.30600188421,6884.5068024674,8.7467266207002,0.102598548098824,TRUE,TRUE,0.00249728561476109,0
"PRIMARY","genre_simulation",-0.240956587486069,0.0651969260110111,-3.69582742973762,0.000219171812570787,-0.368740214370373,-0.113172960601764,0.785875742489426,0.69160505616958,0.892996193599071,FALSE,"-","Wald normal","paid; total_reviews >= 20",">=20","z_days_since_release","z_log1p_price","primary_7",836,-3395.15300094211,6818.30600188421,6884.5068024674,8.7467266207002,0.102598548098824,TRUE,TRUE,0.00249728561476109,0
"PRIMARY","genre_strategy",-0.191505896848702,0.0746344144908829,-2.56591946429881,0.0102902717221728,-0.337786661258067,-0.0452251324393371,0.82571475597714,0.713347456314887,0.955782280013379,FALSE,"-","Wald normal","paid; total_reviews >= 20",">=20","z_days_since_release","z_log1p_price","primary_7",836,-3395.15300094211,6818.30600188421,6884.5068024674,8.7467266207002,0.102598548098824,TRUE,TRUE,0.00249728561476109,0
