payment_segment,games,zero_review_share_pct,reviews_ge_20_share_pct,avg_total_reviews,median_total_reviews,avg_log1p_total_reviews
Free,402,91.54,1.99,7.11,0.0000,0.1817
Paid,2598,15.05,32.18,414.40,6.0000,2.4463
