sample_name,games,free_share_pct,median_current_price_usd,windows_share_pct,mac_share_pct,linux_share_pct,avg_total_reviews,avg_log1p_total_reviews,avg_positive_rate
Market sample,3000,13.40,4.99,99.97,14.63,12.10,359.82,2.1429,0.8180
Model candidate (reviews >=20),844,0.95,9.99,100.00,18.48,13.98,1269.86,4.9513,0.8413
