genre_name,free_games,paid_games,genre_games,free_share_pct
Indie,274,1944,2218,12.35
Casual,188,1182,1370,13.72
Adventure,143,1044,1187,12.05
Action,152,983,1135,13.39
Simulation,64,612,676,9.47
Strategy,85,557,642,13.24
RPG,79,493,572,13.81
Free To Play,393,3,396,99.24
Early Access,37,304,341,10.85
Racing,12,96,108,11.11
Sports,21,86,107,19.63
Massively Multiplayer,28,15,43,65.12
Game Development,0,1,1,0.00
